Kategori1,Kategori2,Kategori3,Harga,HargaAtas,OmsetMinimum,JumlahTerjual,JumlahReview,JumlahRating,ValidOrder,KotaPengiriman,PenjualanSebelumnya,KenaikanPenjualan,PersentaseKenaikanPenjualan,ReviewSebelumnya,KenaikanReviewPenjualan,PersentaseKenaikanReview,ExtractionTimestamp
Handphone & Aksesoris,Aksesoris,USB & Lampu Handphone,1700.0,1700.0,49811700,29301,7191,4.74488802336904,0.24539999999999998,KAB. TANGERANG,27141.0,216.0,7.95843926163369,6932.0,259.0,3.73629544143104,2025-05-01 18:50:43.387102
Handphone & Aksesoris,Aksesoris,USB & Lampu Handphone,1700.0,1700.0,9948400,5852,331,4.83383685800604,0.056600000000000004,KOTA JAKARTA PUSAT,3925.0,1927.0,49.95541412739,266.0,65.0,24.4360902255639,2025-05-01 18:50:43.387102
Handphone & Aksesoris,Aksesoris,USB & Lampu Handphone,1650.0,1650.0,2311650,1401,208,4.84615384615385,0.1485,KOTA JAKARTA UTARA,,,,,,0.0,2025-05-01 18:50:43.387102
Handphone & Aksesoris,Aksesoris,USB & Lampu Handphone,1649.0,1649.0,20884585,12665,562,4.7843137254902,0.0444,KOTA JAKARTA PUSAT,129.0,2456.0,24.5724427466,49.0,72.0,14.6938775510204,2025-05-01 18:50:43.387102
Handphone & Aksesoris,Aksesoris,USB & Lampu Handphone,1599.0,1599.0,5163171,3229,255,4.8,0.079,KOTA JAKARTA PUSAT,235.0,1194.0,58.6732186732187,123.0,132.0,107.317073170732,2025-05-01 18:50:43.387102
Handphone & Aksesoris,Aksesoris,USB & Lampu Handphone,1650.0,1650.0,38242050,23177,2603,4.68704344482891,0.11230000000000001,KOTA JAKARTA PUSAT,21331.0,1846.0,8.654715397459,2429.0,174.0,7.16344174557431,2025-05-01 18:50:43.387102
Handphone & Aksesoris,Aksesoris,Kartu Memori,32900.0,95000.0,988612100,30049,13180,4.46786690975387,0.4386,KOTA JAKARTA UTARA,22633.0,7416.0,32.7663146732647,9856.0,3324.0,33.7256493506493,2025-05-01 18:50:43.387102
Handphone & Aksesoris,Aksesoris,Kartu Memori,99500.0,99500.0,498793500,5013,14,5.0,0.0028000000000000004,KAB. TANGERANG,3146.0,1867.0,59.34522542912,14.0,,0.0,2025-05-01 18:50:43.387102
Handphone & Aksesoris,Aksesoris,Kartu Memori,62000.0,105000.0,244156000,3938,1508,4.76974120769741,0.3829,KOTA JAKARTA PUSAT,,,,,,0.0,2025-05-01 18:50:43.387102
Handphone & Aksesoris,Aksesoris,Kartu Memori,10121.0,67896.0,16689529,1649,927,4.61646803900325,0.5622,Luar Negeri,425.0,1224.0,288.0,234.0,693.0,296.153846153846,2025-05-01 18:50:43.387102
